vin,make,model,year,category
JN1AS44D6WW551433,Nissan,Ultima,1999,C
JN1AS44D6WW551434,Nissan,Maxima,2011,D
JN1AS44D6WW551435,Nissan,Maxima,2014,D
JN1AS44D6WW551436,Nissan,Pathfinder,2010,J
JN1AS44D6WW551437,Nissan,Ultima,2006,C
JN1AS44D6WW551438,Nissan,Maxima,2014,D
JN1AS44D6WW551439,Nissan,Maxima,2001,D
JN1AS44D6WW551440,Nissan,Ultima,2015,C
JN1AS44D6WW551441,Nissan,Maxima,1995,D
JN1AS44D6WW551442,Nissan,Ultima,2005,C
JN1AS44D6WW551443,Nissan,Ultima,2011,C
JN1AS44D6WW551444,Nissan,Pathfinder,1997,J
JN1AS44D6WW551445,Nissan,Pathfinder,2006,J
JN1AS44D6WW551446,Nissan,Ultima,1995,C
JN1AS44D6WW551447,Nissan,Pathfinder,2007,J
JN1AS44D6WW551448,Nissan,Pathfinder,2007,J
JN1AS44D6WW551449,Nissan,Pathfinder,2000,J
1N4AA5AP9CC966900,Nissan,Maxima,2007,D
1N4AA5AP9CC966901,Nissan,Ultima,1996,C
1N4AA5AP9CC966902,Nissan,Ultima,2014,C
1N4AA5AP9CC966903,Nissan,Maxima,2013,D
1N4AA5AP9CC966904,Nissan,Maxima,2003,D
1N4AA5AP9CC966905,Nissan,Maxima,2002,D
1N4AA5AP9CC966906,Nissan,Ultima,1997,C
1N4AA5AP9CC966907,Nissan,Pathfinder,2006,J
1N4AA5AP9CC966908,Nissan,Maxima,2012,D
1N4AA5AP9CC966909,Nissan,Maxima,1997,D
1N4AA5AP9CC966910,Nissan,Maxima,1997,D
1N4AA5AP9CC966911,Nissan,Ultima,2005,C
1N4AA5AP9CC966912,Nissan,Ultima,2003,C
1N4AA5AP9CC966913,Nissan,Pathfinder,2011,J
1N4AA5AP9CC966914,Nissan,Pathfinder,2005,J
1N4AA5AP9CC966915,Nissan,Maxima,2010,D
1N4AA5AP9CC966916,Nissan,Pathfinder,2006,J
1N4AA5AP9CC966917,Nissan,Pathfinder,2011,J
1N4AA5AP9CC966918,Nissan,Pathfinder,2007,J
1N4AA5AP9CC966919,Nissan,Pathfinder,2006,J
1N4AA5AP9CC966920,Nissan,Pathfinder,1996,J
1N4AA5AP9CC966921,Nissan,Pathfinder,2000,J
1N4AA5AP9CC966922,Nissan,Pathfinder,2006,J
1N4AA5AP9CC966923,Nissan,Pathfinder,1998,J
1N4AA5AP9CC966924,Nissan,Pathfinder,2012,J
1N4AA5AP9CC966925,Nissan,Ultima,1998,C
1N4AA5AP9CC966926,Nissan,Ultima,2000,C
1N4AA5AP9CC966927,Nissan,Maxima,2000,D
1N4AA5AP9CC966928,Nissan,Maxima,2013,D
1N4AA5AP9CC966929,Nissan,Ultima,2014,C
1N4AA5AP9CC966930,Nissan,Pathfinder,2010,J
YS3EB59A273512725,Saab,92x,2004,C
YS3EB59A273512726,Saab,95,2003,E
YS3EB59A273512727,Saab,92x,1996,C
YS3EB59A273512728,Saab,95,2000,E
YS3EB59A273512729,Saab,93,2007,D
YS3EB59A273512730,Saab,95,2004,E
YS3EB59A273512731,Saab,93,1995,D
YS3EB59A273512732,Saab,95,1999,E
YS3EB59A273512733,Saab,92x,2007,C
YS3EB59A273512734,Saab,95,2004,E
YS3EB59A273512735,Saab,95,2000,E
YS3EB59A273512736,Saab,93,2000,D
YS3EB59A273512737,Saab,93,2007,D
YS3EB59A273512738,Saab,92x,2000,C
YS3EB59A273512739,Saab,93,2013,D
YS3EB59A273512740,Saab,92x,2013,C
YS3EB59A273512741,Saab,95,1999,E
YS3EB59A273512742,Saab,95,2006,E
YS3ED58E7Y9000066,Saab,93,1995,D
YS3ED58E7Y9000067,Saab,92x,1998,C
YS3ED58E7Y9000068,Saab,93,2015,D
YS3ED58E7Y9000069,Saab,92x,2010,C
YS3ED58E7Y9000070,Saab,92x,2015,C
YS3ED58E7Y9000071,Saab,92x,2008,C
YS3ED58E7Y9000072,Saab,95,1998,E
YS3ED58E7Y9000073,Saab,93,2012,D
YS3ED58E7Y9000074,Saab,92x,2000,C
YS3ED58E7Y9000075,Saab,93,2005,D
YS3ED58E7Y9000076,Saab,93,1999,D
YS3ED58E7Y9000077,Saab,93,1995,D
YS3ED58E7Y9000078,Saab,92x,2005,C
YS3ED58E7Y9000079,Saab,95,2003,E
YS3ED58E7Y9000080,Saab,95,2015,E
YS3CC55B6N9000060,Saab,92x,2005,C
YS3CC55B6N9000061,Saab,93,2013,D
YS3CC55B6N9000062,Saab,92x,1998,C
YS3CC55B6N9000063,Saab,95,1996,E
YS3CC55B6N9000064,Saab,95,2007,E
YS3CC55B6N9000065,Saab,95,2013,E
YS3CC55B6N9000066,Saab,92x,2014,C
YS3CC55B6N9000067,Saab,95,2013,E
YS3CC55B6N9000068,Saab,95,2006,E
YS3CC55B6N9000069,Saab,92x,2002,C
YS3CC55B6N9000070,Saab,93,1996,D
YS3CC55B6N9000071,Saab,93,2011,D
YS3CC55B6N9000072,Saab,92x,2007,C
YS3CC55B6N9000073,Saab,93,2003,D
YS3CC55B6N9000074,Saab,93,2006,D
YS3CC55B6N9000075,Saab,92x,1997,C
YS3CC55B6N9000076,Saab,95,1999,E
YS3CC55B6N9000077,Saab,92x,1995,C
YS3ED45E2V9900027,Saab,95,1999,E
YS3ED45E2V9900028,Saab,93,2006,D
YS3ED45E2V9900029,Saab,93,2003,D
YS3ED45E2V9900030,Saab,92x,1995,C
YS3ED45E2V9900031,Saab,92x,1998,C
YS3ED45E2V9900032,Saab,95,1999,E
YS3ED45E2V9900033,Saab,92x,1996,C
YS3ED45E2V9900034,Saab,95,1998,E
YS3ED45E2V9900035,Saab,92x,2012,C
YS3ED45E2V9900036,Saab,92x,2007,C
YS3ED45E2V9900037,Saab,93,2005,D
YS3ED45E2V9900038,Saab,93,1995,D
YS3ED45E2V9900039,Saab,95,1995,E
YS3ED45E2V9900040,Saab,95,2013,E
YS3FB59S581102415,Saab,93,2015,D
YS3FB59S581102416,Saab,95,1999,E
YS3FB59S581102417,Saab,93,2001,D
YS3FB59S581102418,Saab,95,2008,E
YS3FB59S581102419,Saab,93,2000,D
YS3FB59S581102420,Saab,93,2008,D
YS3FB59S581102421,Saab,95,2006,E
YS3FB59S581102422,Saab,92x,1998,C
YS3FB59S581102423,Saab,92x,2008,C
YS3FB59S581102424,Saab,92x,1998,C
YS3FB59S581102425,Saab,95,2014,E
YS3FB59S581102426,Saab,92x,2005,C
YS3FB59S581102427,Saab,93,1996,D
YS3FB59S581102428,Saab,92x,2008,C
YS3FB59S581102429,Saab,95,2004,E
JF1AW53B0E0016824,Subaru,Legacy,2015,C
JF1AW53B0E0016825,Subaru,Impreza,2011,B
JF1AW53B0E0016826,Subaru,Forrestor,2000,J
JF1AW53B0E0016827,Subaru,Forrestor,2003,J
JF1AW53B0E0016828,Subaru,Impreza,2015,B
JF1AW53B0E0016829,Subaru,Forrestor,2004,J
JF1AW53B0E0016830,Subaru,Legacy,2001,C
JF1AW53B0E0016831,Subaru,Forrestor,1999,J
JF1AW53B0E0016832,Subaru,Legacy,2003,C
JF1AW53B0E0016833,Subaru,Legacy,1998,C
JF1AW53B0E0016834,Subaru,Legacy,2007,C
JF1AW53B0E0016835,Subaru,Legacy,2002,C
JF1AW53B0E0016836,Subaru,Impreza,2001,B
JF1AW53B0E0016837,Subaru,Forrestor,2001,J
JF1AW53B0E0016838,Subaru,Impreza,2011,B
JF1AW53B0E0016839,Subaru,Forrestor,1997,J
4S3BMAF61A1238644,Subaru,Legacy,2013,C
4S3BMAF61A1238645,Subaru,Legacy,2012,C
4S3BMAF61A1238646,Subaru,Impreza,2011,B
4S3BMAF61A1238647,Subaru,Legacy,2006,C
4S3BMAF61A1238648,Subaru,Legacy,2002,C
4S3BMAF61A1238649,Subaru,Legacy,2009,C
4S3BMAF61A1238650,Subaru,Legacy,1999,C
4S3BMAF61A1238651,Subaru,Forrestor,2009,J
4S3BMAF61A1238652,Subaru,Impreza,1995,B
4S3BMAF61A1238653,Subaru,Forrestor,1999,J
4S3BMAF61A1238654,Subaru,Legacy,1999,C
4S3BMAF61A1238655,Subaru,Legacy,2012,C
4S3BMAF61A1238656,Subaru,Forrestor,2006,J
4S3BMAF61A1238657,Subaru,Legacy,1995,C
4S3BMAF61A1238658,Subaru,Forrestor,1996,J
4S3BMAF61A1238659,Subaru,Impreza,2008,B
JF1GM4350XG401587,Subaru,Forrestor,2002,J
JF1GM4350XG401588,Subaru,Forrestor,2000,J
JF1GM4350XG401589,Subaru,Impreza,2010,B
JF1GM4350XG401590,Subaru,Forrestor,2009,J
JF1GM4350XG401591,Subaru,Forrestor,2012,J
JF1GM4350XG401592,Subaru,Legacy,2009,C
JF1GM4350XG401593,Subaru,Forrestor,2008,J
JF1GM4350XG401594,Subaru,Legacy,1999,C
JF1GM4350XG401595,Subaru,Forrestor,2000,J
JF1GM4350XG401596,Subaru,Legacy,1997,C
JF1GM4350XG401597,Subaru,Legacy,2001,C
JF1GM4350XG401598,Subaru,Forrestor,2003,J
JF1GM4350XG401599,Subaru,Impreza,2013,B
JF2AF52B0B0011339,Subaru,Legacy,2013,C
JF2AF52B0B0011340,Subaru,Impreza,1996,B
JF2AF52B0B0011341,Subaru,Forrestor,2003,J
JF2AF52B0B0011342,Subaru,Impreza,1997,B
JF2AF52B0B0011343,Subaru,Legacy,1998,C
JF2AF52B0B0011344,Subaru,Forrestor,2003,J
JF2AF52B0B0011345,Subaru,Legacy,2010,C
JF2AF52B0B0011346,Subaru,Forrestor,2005,J
JF2AF52B0B0011347,Subaru,Legacy,2009,C
JF2AF52B0B0011348,Subaru,Legacy,1999,C
JF1AN4320J0019228,Subaru,Forrestor,1997,J
JF1AN4320J0019229,Subaru,Legacy,2007,C
JF1AN4320J0019230,Subaru,Forrestor,2003,J
JF1AN4320J0019231,Subaru,Impreza,2007,B
JF1AN4320J0019232,Subaru,Forrestor,2007,J
JF1AN4320J0019233,Subaru,Legacy,2009,C
JF1AN4320J0019234,Subaru,Legacy,2015,C
JF1AN4320J0019235,Subaru,Impreza,2006,B
JF1AN4320J0019236,Subaru,Forrestor,1997,J
JF1AN4320J0019237,Subaru,Legacy,2005,C
JF1AN4320J0019238,Subaru,Impreza,2012,B
JF1GD45M36H065432,Subaru,Legacy,2005,C
JF1GD45M36H065433,Subaru,Impreza,2009,B
JF1GD45M36H065434,Subaru,Forrestor,1999,J
JF1GD45M36H065435,Subaru,Legacy,2012,C
JF1GD45M36H065436,Subaru,Impreza,2000,B
JF1GD45M36H065437,Subaru,Impreza,2002,B
JF1GD45M36H065438,Subaru,Forrestor,1997,J
JTMZK31V99D000372,Toyota,Camry,2012,C
JTMZK31V99D000373,Toyota,Highlander,2010,J
JTMZK31V99D000374,Toyota,Camry,2005,C
JTMZK31V99D000375,Toyota,Corolla,2005,C
JTMZK31V99D000376,Toyota,Highlander,2014,J
JTMZK31V99D000377,Toyota,Corolla,2000,C
JTMZK31V99D000378,Toyota,Highlander,2001,J
JTMZK31V99D000379,Toyota,Highlander,2008,J
JTMZK31V99D000380,Toyota,Highlander,2011,J
JTMZK31V99D000381,Toyota,Camry,1999,C
JTMZK31V99D000382,Toyota,Highlander,2015,J
JTMZK31V99D000383,Toyota,Corolla,2015,C
JTMZK31V99D000384,Toyota,Corolla,2005,C
JTMZK31V99D000385,Toyota,Highlander,2006,J
JTMZK31V99D000386,Toyota,Camry,2014,C
JTMZK31V99D000387,Toyota,Camry,2006,C
JT3HF21A220065640,Toyota,Highlander,2003,J
JT3HF21A220065641,Toyota,Camry,1997,C
JT3HF21A220065642,Toyota,Camry,2014,C
JT3HF21A220065643,Toyota,Corolla,2014,C
JT3HF21A220065644,Toyota,Highlander,2006,J
JT3HF21A220065645,Toyota,Corolla,2005,C
JT3HF21A220065646,Toyota,Camry,2005,C
JT3HF21A220065647,Toyota,Highlander,2011,J
JT3HF21A220065648,Toyota,Highlander,1996,J
JT3HF21A220065649,Toyota,Corolla,2009,C
JT3HF21A220065650,Toyota,Highlander,2013,J
JT3HF21A220065651,Toyota,Corolla,1999,C
JT3HF21A220065652,Toyota,Camry,1995,C
JT3HF21A220065653,Toyota,Corolla,2012,C
JT2SV12H0E0208513,Toyota,Camry,2012,C
JT2SV12H0E0208514,Toyota,Camry,2011,C
JT2SV12H0E0208515,Toyota,Corolla,2005,C
JT2SV12H0E0208516,Toyota,Corolla,2004,C
JT2SV12H0E0208517,Toyota,Camry,2011,C
JT2SV12H0E0208518,Toyota,Highlander,2010,J
JT2SV12H0E0208519,Toyota,Highlander,2003,J
JT2SV12H0E0208520,Toyota,Corolla,2009,C
JT2SV12H0E0208521,Toyota,Highlander,2000,J
JT2SV12H0E0208522,Toyota,Camry,2000,C
JT2SV12H0E0208523,Toyota,Highlander,2008,J
JT2SV12H0E0208524,Toyota,Corolla,2006,C
JT2SV12H0E0208525,Toyota,Camry,2010,C
5TEMU52NX6Z303498,Toyota,Camry,2010,C
5TEMU52NX6Z303499,Toyota,Camry,2001,C
5TEMU52NX6Z303500,Toyota,Camry,2010,C
5TEMU52NX6Z303501,Toyota,Corolla,1995,C
5TEMU52NX6Z303502,Toyota,Highlander,2006,J
5TEMU52NX6Z303503,Toyota,Highlander,2012,J
5TEMU52NX6Z303504,Toyota,Highlander,2000,J
5TEMU52NX6Z303505,Toyota,Camry,2006,C
5TEMU52NX6Z303506,Toyota,Camry,2012,C
5TEMU52NX6Z303507,Toyota,Camry,2003,C
5TEMU52NX6Z303508,Toyota,Corolla,2015,C
5TEMU52NX6Z303509,Toyota,Camry,1999,C
5TEMU52NX6Z303510,Toyota,Camry,1995,C
5TEMU52NX6Z303511,Toyota,Corolla,2002,C
5TEMU52NX6Z303512,Toyota,Corolla,2005,C
5TEMU52NX6Z303513,Toyota,Camry,2005,C
5TBDT441965545985,Toyota,Camry,2000,C
WVWAB7AJ8CW168081,Toyota,Corolla,1998,C
WVWAB7AJ8CW168082,Toyota,Camry,2008,C
WVWAB7AJ8CW168083,Toyota,Highlander,2010,J
WVWAB7AJ8CW168084,Toyota,Highlander,2005,J
WVWAB7AJ8CW168085,Toyota,Corolla,2013,C
WVWAB7AJ8CW168086,Toyota,Camry,2001,C
WVWAB7AJ8CW168087,Toyota,Camry,2003,C
WVWAB7AJ8CW168088,Toyota,Camry,2005,C
WVWAB7AJ8CW168089,Toyota,Corolla,2013,C
WVWAB7AJ8CW168090,Toyota,Highlander,2015,J
WVWAB7AJ8CW168091,Volkswagen,Passat,1995,C
WVWAB7AJ8CW168092,Volkswagen,Jetta,2002,C
WVWAB7AJ8CW168093,Volkswagen,Passat,1997,C
WVWAB7AJ8CW168094,Volkswagen,Passat,2000,C
WVWGK73C07E159976,Volkswagen,Passat,1996,C
WVWGK73C07E159977,Volkswagen,Jetta,2007,C
WVWGK73C07E159978,Volkswagen,Jetta,2006,C
WVWGK73C07E159979,Volkswagen,Passat,2002,C
WVWGK73C07E159980,Volkswagen,Jetta,2007,C
WVWGK73C07E159981,Volkswagen,Jetta,2014,C
WVWGK73C07E159982,Volkswagen,Jetta,2003,C
WVWGK73C07E159983,Volkswagen,Passat,2008,C
WVWGK73C07E159984,Volkswagen,Passat,2009,C
WVWGK73C07E159985,Volkswagen,Passat,2005,C
WVWGK73C07E159986,Volkswagen,Passat,2013,C
WVWGK73C07E159987,Volkswagen,Passat,2010,C
WVWGK73C07E159988,Volkswagen,Jetta,2003,C
WVWGK73C07E159989,Volkswagen,Jetta,2011,C
WVWGK73C07E159990,Volkswagen,Passat,1995,C
WVWGK73C07E159991,Volkswagen,Passat,2005,C
1VWFA9170G0017198,Volkswagen,Passat,2015,C
1VWFA9170G0017199,Volkswagen,Jetta,2006,C
1VWFA9170G0017200,Volkswagen,Jetta,2009,C
1VWFA9170G0017201,Volkswagen,Jetta,1996,C
1VWFA9170G0017202,Volkswagen,Passat,2011,C
1VWFA9170G0017203,Volkswagen,Passat,1997,C
1VWFA9170G0017204,Volkswagen,Passat,2007,C
1VWFA9170G0017205,Volkswagen,Passat,2015,C
1VWFA9170G0017206,Volkswagen,Jetta,1996,C
1VWFA9170G0017207,Volkswagen,Passat,2004,C
1VWFA9170G0017208,Volkswagen,Jetta,2003,C
1VWFA9170G0017209,Volkswagen,Jetta,2004,C
1VWFA9170G0017210,Volkswagen,Jetta,2011,C
1VWFA9170G0017211,Volkswagen,Jetta,1999,C
1VWFA9170G0017212,Volkswagen,Jetta,2014,C
1VWFA9170G0017213,Volkswagen,Jetta,1998,C
1VWFA9170G0017214,Volkswagen,Jetta,2013,C
1VWFA9170G0017215,Volkswagen,Jetta,2008,C
1VWFA9170G0017216,Volkswagen,Jetta,1996,C
3VWSF31C070014459,Volkswagen,Passat,2003,C
3VWSF31C070014460,Volkswagen,Passat,2010,C
3VWSF31C070014461,Volkswagen,Passat,2000,C
3VWSF31C070014462,Volkswagen,Jetta,2009,C
3VWSF31C070014463,Volkswagen,Passat,2009,C
3VWSF31C070014464,Volkswagen,Jetta,2006,C
3VWSF31C070014465,Volkswagen,Passat,2000,C
3VWSF31C070014466,Volkswagen,Jetta,2007,C
3VWSF31C070014467,Volkswagen,Jetta,2003,C
3VWSF31C070014468,Volkswagen,Jetta,2001,C
3VWSF31C070014469,Volkswagen,Passat,2011,C
3VWSF31C070014470,Volkswagen,Passat,2015,C
3VWSF31C070014471,Volkswagen,Jetta,2011,C
3VWSF31C070014472,Volkswagen,Passat,2003,C
3VWFT71K06M851051,Volkswagen,Jetta,2003,C
3VWFT71K06M851052,Volkswagen,Passat,2012,C
3VWFT71K06M851053,Volkswagen,Jetta,2014,C
3VWFT71K06M851054,Volkswagen,Passat,2008,C
3VWFT71K06M851055,Volkswagen,Jetta,1997,C
3VWFT71K06M851056,Volkswagen,Passat,2002,C
3VWFT71K06M851057,Volkswagen,Jetta,2004,C
3VWFT71K06M851058,Volkswagen,Jetta,2007,C
3VWFT71K06M851059,Volkswagen,Jetta,1996,C
3VWFT71K06M851060,Volkswagen,Passat,1998,C
3VWFT71K06M851061,Volkswagen,Passat,1998,C
3VWFT71K06M851062,Volkswagen,Jetta,2012,C
3VWFT71K06M851063,Volkswagen,Jetta,2008,C
3VWFT71K06M851064,Volkswagen,Passat,2012,C
3VWFT71K06M851065,Volkswagen,Passat,2015,C
